,docket,win
1433,13-301X,1
1434,13-316X,0
1435,13-317X,1
1436,13-339X,1
1437,13-352X,1
1438,13-354X,0
1439,13-369X,1
1440,133MXXX,0
1441,134XXXX,0
1442,134XXXX,0
1443,134XXXX,0
1444,134XXXX,0
1445,134XXXX,1
1446,134XXXX,1
1447,134XXXX,1
1448,134 ORIG,0
1449,13-433X,1
1450,13-435X,1
1451,13-461X,1
1452,1347XXX,1
1453,13-483X,0
1454,13-485X,0
1455,135XXXX,0
1456,135XXXX,0
1457,135XXXX,1
1458,135XXXX,1
1459,135XXXX,1
1460,135 MXX,1
1461,13-502X,1
1462,13-517X,0
1463,13-534X,0
1464,13-550X,1
1465,13-551X,1
1466,13-553X,1
1467,13-5967,1
1468,136XXXX,0
1469,136XXXX,1
1470,136XXXX,1
1471,13-604X,0
1472,13-628X,0
1473,13-6440,1
1474,13-6827,1
1475,13-684X,1
1476,137XXXX,0
1477,137XXXX,0
1478,137XXXX,1
1479,137XXXX,1
1480,"137, Orig.",0
1481,"137, Orig.",1
1482,13-7120,1
1483,13-719X,1
1484,13-720X,0
1485,13-7211,1
1486,13-7451,1
1487,138XXXX,1
1488,138XXXX,1
1489,138XXXX,1
1490,138XXXX,1
1491,138XXXX,1
1492,138XXXX,1
1493,"138, Orig.",1
1494,1381 MX,0
1495,13-854X,1
1496,1389XXX,1
1497,13-894X,0
1498,13-895X,1
1499,13-896X,1
1500,139XXXX,0
1501,139XXXX,0
1502,139XXXX,1
1503,139XXXX,1
1504,13-9026,0
1505,13-9085,1
1506,1393 MX,1
1507,13-935X,1
1508,13-975X,1
1509,13-983X,1
1510,13-9972,1
1511,14XXXXX,0
1512,14XXXXX,0
1513,14XXXXX,0
1514,14XXXXX,0
1515,14XXXXX,0
1516,14XXXXX,0
1517,14XXXXX,0
1518,14XXXXX,0
1519,14XXXXX,0
1520,14XXXXX,1
1521,14XXXXX,1
1522,14XXXXX,1
1523,14XXXXX,1
1524,14XXXXX,1
1525,14XXXXX,1
1526,14XXXXX,1
1527,14XXXXX,1
1528,14XXXXX,1
1529,14XXXXX,1
1530,14XXXXX,1
1531,14XXXXX,1
1532,14 MXXX,1
1533,14 MXXX,1
1534,14 ORIG,1
1535,140XXXX,1
1536,140XXXX,1
1537,141XXXX,0
1538,141XXXX,0
1539,141XXXX,1
1540,14-10008,1
1541,14-10078,1
1542,14-10154,0
1543,14-103X,0
1544,14-1055,1
1545,14-1095,0
1546,14-1096,0
1547,14-1132,0
1548,14-114X,0
1549,14-1143,1
1550,14-1146,0
1551,14-116X,0
1552,14-1175,1
1553,14-1209,1
1554,14-1280,1
1555,14-1372,1
1556,14-1373,1
1557,14-1375,1
1558,14-1382,0
1559,14-1406,0
1560,14-1418,1
1561,14-144X,1
1562,14-1457,0
1563,14-1468,1
1564,14-15XX,1
1565,14-1504,0
1566,14-1513,1
1567,14-1516,0
1568,14-1538,1
1569,14-181X,0
1570,14-185X,1
1571,142XXXX,0
1572,142XXXX,0
1573,142XXXX,1
1574,14-232X,0
1575,1425 MX,1
1576,14-275X,1
1577,14-280X,1
1578,143XXXX,1
1579,143XXXX,1
1580,143XXXX,1
1581,143XXXX,1
1582,14-361X,0
1583,14-378X,1
1584,144XXXX,0
1585,144XXXX,1
1586,14-400X,1
1587,14-419X,1
1588,14-449X,1
1589,14-46XX,1
1590,14-462X,1
1591,145XXXX,0
1592,14-510X,0
1593,14-520X,0
1594,14-556X,1
1595,14-593X,1
1596,146XXXX,1
1597,146XXXX,1
1598,146XXXX,1
1599,14-613X,1
1600,14-614X,0
1601,14-6166,0
1602,14-618X,1
1603,14-6368,1
1604,14-6873,1
1605,147XXXX,0
1606,147XXXX,1
1607,147XXXX,1
1608,147XXXX,1
1609,1470XXX,1
1610,14-723X,1
1611,14-7505,1
1612,14-770X,0
1613,1478 MX,1
1614,14-7955,0
1615,148XXXX,0
1616,148XXXX,0
1617,148XXXX,1
1618,14-8349,1
1619,14-8358,0
1620,14-840X,1
1621,14-844X,0
1622,14-848X,1
1623,14-857X,0
1624,14-86XX,1
1625,14-8913,1
1626,149XXXX,1
1627,149XXXX,1
1628,149XXXX,1
1629,149XXXX,1
1630,14-915X,0
1631,14-916X,1
1632,14-939X,1
1633,14-940X,0
1634,14-9496,1
1635,14-981X,0
1636,14-990X,1
1637,15XXXXX,0
1638,15XXXXX,0
1639,15XXXXX,0
1640,15XXXXX,1
1641,15XXXXX,1
1642,15XXXXX,1
1643,15XXXXX,1
1644,15XXXXX,1
1645,15XXXXX,1
1646,15XXXXX,1
1647,15XXXXX,1
1648,15XXXXX,1
1649,15XXXXX,1
1650,15XXXXX,1
1651,15 ORIG,0
1652,15 ORIG,0
1653,150XXXX,0
1654,150XXXX,1
1655,150XXXX,1
1656,150XXXX,1
1657,150XXXX,1
1658,1507XXX,1
1659,151XXXX,0
1660,151XXXX,1
1661,151XXXX,1
1662,15-1031,1
1663,15-1039,1
1664,15-108X,0
1665,15-109X,0
1666,15-1111,1
1667,15-118X,1
1668,15-1189,1
1669,15-1191,1
1670,15-1194,1
1671,15-1204,1
1672,15-1248,1
1673,15-1251,0
1674,15-1256,1
1675,15-1262,0
1676,15-1293,0
1677,15-1358,1
1678,15-138X,1
1679,15-1391,1
1680,15-1406,1
1681,15-1439,0
1682,15-145X,1
1683,15-1485,1
1684,15-1498,0
1685,15-1500,1
1686,15-1503,0
1687,15-1509,0
1688,152XXXX,0
1689,15-214X,0
1690,15-233X,0
1691,15-274X,1
1692,15-278X,1
1693,15-290X,0
1694,153XXXX,0
1695,153XXXX,0
1696,153XXXX,0
1697,153XXXX,0
1698,153XXXX,0
1699,153XXXX,1
1700,153XXXX,1
1701,153XXXX,1
1702,15-338X,1
1703,15-339X,1
1704,15-375X,1
1705,154XXXX,0
1706,154XXXX,1
1707,154XXXX,1
1708,154XXXX,1
1709,15-415X,1
1710,15-420X,1
1711,15-423X,1
1712,1544XXX,1
1713,15-446X,0
1714,15-457X,1
1715,15-458X,0
1716,15-474X,1
1717,15-493X,1
1718,15-497X,1
1719,155XXXX,0
1720,155XXXX,1
1721,155XXXX,1
1722,15-5040,1
1723,15-513X,0
1724,15-5238,1
1725,15-537X,0
1726,15-577X,1
1727,15-5991,1
1728,156XXXX,0
1729,156XXXX,0
1730,156XXXX,1
1731,156XXXX,1
1732,156XXXX,1
1733,15-606X,1
1734,15-6092,1
1735,15-628X,0
1736,15-6418,1
1737,15-648X,1
1738,15-649X,1
1739,15-674X,0
1740,15-680X,1
1741,157XXXX,0
1742,157XXXX,0
1743,157XXXX,0
1744,157XXXX,1
1745,157XXXX,1
1746,157XXXX,1
1747,157XXXX,1
1748,15-7XXX,1
1749,15-723X,1
1750,15-7250,0
1751,15-777X,1
1752,15-789X,0
1753,15-797X,1
1754,158XXXX,0
1755,158XXXX,1
1756,158XXXX,1
1757,158XXXX,1
1758,158XXXX,1
1759,158XXXX,1
1760,15-8049,1
1761,15-827X,1
1762,15-833X,1
1763,15-8366,1
1764,15-8544,0
1765,15-866X,0
1766,159XXXX,0
1767,159XXXX,1
1768,159XXXX,1
1769,15-9173,0
1770,15-9260,1
1771,15-927X,1
1772,1599 MX,1
1773,15MXXXX,1
1774,16XXXXX,0
1775,16XXXXX,0
1776,16XXXXX,0
1777,16XXXXX,0
1778,16XXXXX,0
1779,16XXXXX,0
1780,16XXXXX,1
1781,16XXXXX,1
1782,16XXXXX,1
1783,16XXXXX,1
1784,16XXXXX,1
1785,16XXXXX,1
1786,16XXXXX,1
1787,16XXXXX,1
1788,16XXXXX,1
1789,16XXXXX,1
1790,16 MXXX,1
1791,160XXXX,1
1792,160XXXX,1
1793,161XXXX,1
1794,161XXXX,1
1795,161XXXX,1
1796,16-1011,1
1797,16-1017,0
1798,16-1023,1
1799,16-1027,1
1800,16-1067,0
1801,16-111X,1
1802,16-1116,1
1803,16-1140,1
1804,16-1144,1
1805,16-1150,1
1806,16-1161,1
1807,16-1177,1
1808,16-1215,0
1809,16-1220,1
1810,16-1276,1
1811,16-1348,0
1812,16-1362,1
1813,16-1371,1
1814,16-142X,1
1815,16-1423,0
1816,16-1432,1
1817,16-1435,1
1818,16-1454,0
1819,16-1466,1
1820,16-1468,1
1821,16-149X,1
1822,16-1495,0
1823,16-1519,1
1824,162XXXX,0
1825,162XXXX,1
1826,162 MXX,1
1827,16-240X,0
1828,16-254X,1
1829,16-285X,1
1830,16-299X,1
1831,163XXXX,1
1832,163XXXX,1
1833,163XXXX,1
1834,16-309X,1
1835,16-32XX,1
1836,16-327X,1
1837,16-341X,1
1838,16-348X,1
1839,16-349X,0
1840,16-369X,1
1841,16-373X,0
1842,16-399X,1
1843,164XXXX,0
1844,164XXXX,0
1845,164XXXX,1
1846,164XXXX,1
1847,164XXXX,1
1848,16-402X,1
1849,16-405X,1
1850,16-424X,1
1851,16-460X,1
1852,16-466X,1
1853,16-476X,1
1854,16-498X,0
1855,16-499X,0
1856,165XXXX,0
1857,165XXXX,0
1858,165XXXX,1
1859,16-529X,1
1860,16-5294,1
1861,16-534X,0
1862,16-54XX,1
1863,166XXXX,1
1864,16-605X,1
1865,16-6219,0
1866,16-6316,1
1867,16-658X,1
1868,16-67XX,1
1869,16-6795,1
1870,16-6855,1
1871,167XXXX,0
1872,167XXXX,0
1873,167XXXX,1
1874,167XXXX,1
1875,16-712X,0
1876,16-74XX,1
1877,16-784X,0
1878,168XXXX,0
1879,168XXXX,0
1880,168XXXX,1
1881,16-8255,1
1882,169XXXX,0
1883,169XXXX,0
1884,169XXXX,1
1885,169XXXX,
1886,16-9493,1
1887,16-961X,0
1888,16-969X,1
1889,16-980X,1
1890,16-992X,1
1891,17XXXXX,0
1892,17XXXXX,0
1893,17XXXXX,0
1894,17XXXXX,0
1895,17XXXXX,0
1896,17XXXXX,0
1897,17XXXXX,1
1898,17XXXXX,1
1899,17XXXXX,1
1900,17XXXXX,1
1901,17XXXXX,1
1902,17XXXXX,1
1903,17XXXXX,1
1904,17XXXXX,1
1905,17XXXXX,1
1906,17XXXXX,1
1907,17XXXXX,
1908,17 ORIG,1
1909,17 ORIG,1
1910,170XXXX,0
1911,171XXXX,0
1912,171XXXX,0
1913,171XXXX,1
1914,17-1106,1
1915,17-130X,1
1916,17-1364,1
1917,17-155X,1
1918,17-193X,1
1919,172XXXX,1
1920,17-2XXX,1
1921,17-21XX,1
1922,17-269X,0
1923,173XXXX,0
1924,173XXXX,0
1925,173XXXX,1
1926,173XXXX,1
1927,17-312X,1
1928,17-333X,0
1929,17-387X,1
1930,174XXXX,1
1931,174XXXX,1
1932,174XXXX,1
1933,174XXXX,1
1934,174 MXX,1
1935,17-43XX,0
1936,17-432X,1
1937,17-459X,1
1938,17-467X,1
1939,17-494X,1
1940,175XXXX,1
1941,175XXXX,1
1942,175XXXX,1
1943,175XXXX,1
1944,175XXXX,1
1945,17-515X,1
1946,17-530X,1
1947,17-5639,0
1948,17-5716,0
1949,17-586X,1
1950,176XXXX,0
1951,176XXXX,0
1952,176XXXX,1
1953,176XXXX,1
1954,17-6075,1
1955,17-654X,0
1956,177XXXX,0
1957,17-742X,1
1958,178XXXX,0
1959,178XXXX,0
1960,178XXXX,0
1961,178XXXX,0
1962,178XXXX,1
1963,178XXXX,1
1964,178XXXX,1
1965,17-801X,1
1966,179XXXX,0
1967,179XXXX,0
1968,179XXXX,1
1969,179XXXX,1
1970,17-965X,1
1971,18XXXXX,0
1972,18XXXXX,0
1973,18XXXXX,0
1974,18XXXXX,1
1975,18XXXXX,1
1976,18XXXXX,1
1977,18XXXXX,1
1978,18XXXXX,1
1979,18XXXXX,1
1980,18XXXXX,1
1981,18XXXXX,1
1982,18XXXXX,1
1983,18XXXXX,1
1984,18XXXXX,1
1985,18XXXXX,1
1986,18 MXXX,0
1987,18 MXXX,1
1988,18 ORIG,1
1989,180XXXX,0
1990,180XXXX,0
1991,180XXXX,1
1992,180XXXX,1
1993,180XXXX,1
1994,181XXXX,1
1995,182XXXX,0
1996,182XXXX,0
1997,182XXXX,1
1998,183XXXX,1
1999,183XXXX,1
2000,184XXXX,1
2001,184XXXX,1
2002,184XXXX,1
2003,184XXXX,1
2004,184XXXX,1
2005,185XXXX,0
2006,185XXXX,0
2007,185XXXX,1
2008,185 MXX,1
2009,186XXXX,0
2010,186XXXX,1
2011,187XXXX,0
2012,187XXXX,0
2013,187XXXX,1
2014,187 MXX,1
2015,1873XXX,1
2016,188XXXX,0
2017,188XXXX,1
2018,189XXXX,0
2019,189XXXX,0
2020,189XXXX,1
2021,19XXXXX,0
2022,19XXXXX,0
2023,19XXXXX,0
2024,19XXXXX,0
2025,19XXXXX,0
2026,19XXXXX,0
2027,19XXXXX,0
2028,19XXXXX,0
2029,19XXXXX,0
2030,19XXXXX,0
2031,19XXXXX,1
2032,19XXXXX,1
2033,19XXXXX,1
2034,19XXXXX,1
2035,19XXXXX,1
2036,19XXXXX,
2037,190XXXX,0
2038,190XXXX,0
2039,190XXXX,1
2040,191XXXX,0
2041,191XXXX,0
2042,191XXXX,1
2043,193XXXX,1
2044,193 MXX,1
2045,194XXXX,1
2046,195XXXX,0
2047,195XXXX,0
2048,196XXXX,1
2049,196XXXX,1
2050,197XXXX,1
2051,198XXXX,0
2052,198XXXX,0
2053,198XXXX,1
2054,198XXXX,1
2055,199XXXX,1
2056,199XXXX,1
2057,199XXXX,1
2058,199XXXX,1
2059,1MXXXXX,0
2060,1MXXXXX,1
2061,2XXXXXX,0
2062,2XXXXXX,0
2063,2XXXXXX,0
2064,2XXXXXX,0
2065,2XXXXXX,0
2066,2XXXXXX,0
2067,2XXXXXX,0
2068,2XXXXXX,1
2069,2XXXXXX,1
2070,2XXXXXX,1
2071,2XXXXXX,1
2072,2XXXXXX,1
2073,2XXXXXX,1
2074,2XXXXXX,1
2075,2XXXXXX,1
2076,2XXXXXX,1
2077,2 MXXXX,0
2078,20XXXXX,0
2079,20XXXXX,0
2080,20XXXXX,0
2081,20XXXXX,0
2082,20XXXXX,0
2083,20XXXXX,0
2084,20XXXXX,1
2085,20XXXXX,1
2086,20XXXXX,1
2087,20XXXXX,1
2088,20XXXXX,1
2089,20XXXXX,1
2090,20XXXXX,1
2091,20XXXXX,1
2092,20XXXXX,1
2093,20XXXXX,1
2094,20XXXXX,1
2095,20XXXXX,1
2096,20XXXXX,1
2097,20XXXXX,1
2098,20 MXXX,1
2099,200XXXX,0
2100,200XXXX,0
2101,200XXXX,0
2102,200XXXX,1
2103,200XXXX,1
2104,200XXXX,1
2105,200 MXX,1
2106,200 MXX,1
2107,201XXXX,0
2108,201XXXX,0
2109,201XXXX,1
2110,201XXXX,1
2111,201XXXX,1
2112,201XXXX,1
2113,201XXXX,1
2114,202XXXX,0
2115,202XXXX,1
2116,202XXXX,1
2117,203XXXX,0
2118,203XXXX,0
2119,203XXXX,0
2120,203XXXX,1
2121,204XXXX,0
2122,204XXXX,0
2123,204XXXX,1
2124,204XXXX,1
2125,204XXXX,1
2126,205XXXX,0
2127,205XXXX,0
2128,205XXXX,0
2129,205XXXX,1
2130,205XXXX,1
2131,205XXXX,1
2132,206XXXX,0
2133,206XXXX,0
2134,206XXXX,0
2135,206XXXX,0
2136,206XXXX,1
2137,206MXXX,0
2138,207XXXX,0
2139,208XXXX,1
2140,208XXXX,1
2141,209XXXX,0
2142,209XXXX,0
2143,209XXXX,1
2144,209XXXX,1
2145,209XXXX,1
2146,21XXXXX,0
2147,21XXXXX,0
2148,21XXXXX,0
2149,21XXXXX,0
2150,21XXXXX,0
2151,21XXXXX,1
2152,21XXXXX,1
2153,21XXXXX,1
2154,21XXXXX,1
2155,21XXXXX,1
2156,21XXXXX,1
2157,21XXXXX,1
2158,21XXXXX,1
2159,21XXXXX,1
2160,21XXXXX,1
2161,21XXXXX,1
2162,21XXXXX,1
2163,21XXXXX,1
2164,21XXXXX,1
2165,210XXXX,0
2166,210XXXX,1
2167,210XXXX,1
2168,210XXXX,1
2169,211XXXX,1
2170,211XXXX,1
2171,212XXXX,1
2172,213XXXX,0
2173,213XXXX,0
2174,214XXXX,0
2175,214XXXX,0
2176,214XXXX,0
2177,214XXXX,0
2178,214XXXX,1
2179,215XXXX,1
2180,216XXXX,0
2181,216XXXX,1
2182,217XXXX,1
2183,217XXXX,1
2184,217XXXX,1
2185,217XXXX,1
2186,217XXXX,1
2187,218XXXX,0
2188,218XXXX,0
2189,218XXXX,
2190,219XXXX,0
2191,219XXXX,1
2192,219XXXX,1
2193,22XXXXX,0
2194,22XXXXX,0
2195,22XXXXX,0
2196,22XXXXX,0
2197,22XXXXX,0
2198,22XXXXX,0
2199,22XXXXX,0
2200,22XXXXX,0
2201,22XXXXX,1
2202,22XXXXX,1
2203,22XXXXX,1
2204,22XXXXX,1
2205,22XXXXX,1
2206,22XXXXX,1
2207,22XXXXX,1
2208,22XXXXX,1
2209,22 ORIG,0
2210,220XXXX,0
2211,220XXXX,1
2212,221XXXX,1
2213,221 MXX,1
2214,222XXXX,1
2215,222XXXX,1
2216,222XXXX,1
2217,223XXXX,0
2218,223XXXX,0
2219,223XXXX,0
2220,223XXXX,1
2221,223XXXX,1
2222,224XXXX,1
2223,224XXXX,1
2224,225XXXX,0
2225,225XXXX,0
2226,225XXXX,1
2227,226XXXX,1
2228,226XXXX,1
2229,227XXXX,1
2230,227XXXX,1
2231,227XXXX,1
2232,228XXXX,0
2233,228XXXX,0
2234,228XXXX,1
2235,229XXXX,0
2236,229XXXX,0
2237,229XXXX,0
2238,229XXXX,1
2239,229XXXX,1
2240,22O141X,2
2241,22O142X,1
2242,23XXXXX,0
2243,23XXXXX,0
2244,23XXXXX,0
2245,23XXXXX,0
2246,23XXXXX,0
2247,23XXXXX,0
2248,23XXXXX,0
2249,23XXXXX,0
2250,23XXXXX,1
2251,23XXXXX,1
2252,23XXXXX,1
2253,23XXXXX,1
2254,23XXXXX,1
2255,23XXXXX,1
2256,23XXXXX,1
2257,23XXXXX,1
2258,23XXXXX,1
2259,23XXXXX,1
2260,23XXXXX,1
2261,23XXXXX,1
2262,23 MXXX,1
2263,230XXXX,0
2264,230XXXX,1
2265,230XXXX,1
2266,230XXXX,1
2267,231XXXX,0
2268,231XXXX,1
2269,231XXXX,1
2270,231XXXX,1
2271,231XXXX,1
2272,232XXXX,1
2273,232XXXX,1
2274,233XXXX,1
2275,233XXXX,1
2276,233XXXX,1
2277,233XXXX,1
2278,233MXXX,0
2279,234XXXX,0
2280,234XXXX,0
2281,234XXXX,0
2282,234XXXX,1
2283,234XXXX,1
2284,235XXXX,0
2285,235XXXX,1
2286,235XXXX,1
2287,235XXXX,1
2288,235MXXX,1
2289,236XXXX,0
2290,236XXXX,0
2291,236XXXX,0
2292,236XXXX,1
2293,236XXXX,1
2294,236XXXX,1
2295,237XXXX,0
2296,237XXXX,0
2297,238XXXX,1
2298,238XXXX,1
2299,238XXXX,1
2300,24XXXXX,0
2301,24XXXXX,0
2302,24XXXXX,1
2303,24XXXXX,1
2304,24XXXXX,1
2305,24XXXXX,1
2306,24XXXXX,1
2307,24XXXXX,1
2308,24XXXXX,1
2309,24XXXXX,1
2310,24XXXXX,1
2311,24XXXXX,1
2312,24XXXXX,1
2313,24XXXXX,1
2314,24XXXXX,1
2315,24XXXXX,
2316,240XXXX,0
2317,240XXXX,1
2318,240XXXX,1
2319,241XXXX,0
2320,241XXXX,1
2321,241XXXX,1
2322,241XXXX,1
2323,241XXXX,1
2324,241 MXX,0
2325,242XXXX,0
2326,242XXXX,1
2327,242XXXX,1
2328,243XXXX,0
2329,243XXXX,1
2330,244XXXX,1
2331,244XXXX,1
2332,244XXXX,1
2333,245XXXX,0
2334,245XXXX,0
2335,246XXXX,1
2336,246XXXX,1
2337,246XXXX,1
2338,247XXXX,0
2339,247XXXX,0
2340,247XXXX,1
2341,248XXXX,0
2342,248XXXX,1
2343,249XXXX,0
2344,249XXXX,0
2345,249XXXX,1
2346,25XXXXX,0
2347,25XXXXX,0
2348,25XXXXX,0
2349,25XXXXX,0
2350,25XXXXX,0
2351,25XXXXX,0
2352,25XXXXX,0
2353,25XXXXX,0
2354,25XXXXX,0
2355,25XXXXX,1
2356,25XXXXX,1
2357,25XXXXX,1
2358,25XXXXX,1
2359,25XXXXX,1
2360,25XXXXX,1
2361,25XXXXX,1
2362,25XXXXX,1
2363,25XXXXX,1
2364,25XXXXX,1
2365,250XXXX,0
2366,250XXXX,1
2367,250XXXX,1
2368,250XXXX,1
2369,251XXXX,1
2370,251XXXX,1
2371,251XXXX,1
2372,251XXXX,1
2373,252XXXX,0
2374,252XXXX,1
2375,252XXXX,1
2376,253XXXX,0
2377,253XXXX,0
2378,253XXXX,1
2379,253XXXX,1
2380,253XXXX,1
2381,254XXXX,0
2382,255XXXX,0
2383,255XXXX,0
2384,255XXXX,1
2385,256XXXX,1
2386,256XXXX,1
2387,257XXXX,0
2388,257XXXX,1
2389,257XXXX,1
2390,257XXXX,1
2391,258XXXX,0
2392,258XXXX,1
2393,258XXXX,1
2394,258XXXX,1
2395,258XXXX,1
2396,259XXXX,1
2397,26XXXXX,0
2398,26XXXXX,0
2399,26XXXXX,0
2400,26XXXXX,0
2401,26XXXXX,0
2402,26XXXXX,0
2403,26XXXXX,0
2404,26XXXXX,0
2405,26XXXXX,1
2406,26XXXXX,1
2407,26XXXXX,1
2408,26XXXXX,1
2409,26XXXXX,1
2410,26XXXXX,1
2411,26XXXXX,1
2412,260XXXX,1
2413,260XXXX,1
2414,261XXXX,0
2415,261XXXX,1
2416,262XXXX,0
2417,262XXXX,1
2418,262XXXX,1
2419,263XXXX,1
2420,264XXXX,1
2421,265XXXX,0
2422,265XXXX,1
2423,267XXXX,0
2424,267XXXX,0
2425,267XXXX,0
2426,267XXXX,1
2427,267XXXX,1
2428,268XXXX,0
2429,269XXXX,1
2430,269XXXX,1
2431,269MXXX,0
2432,27XXXXX,0
2433,27XXXXX,0
2434,27XXXXX,0
2435,27XXXXX,0
2436,27XXXXX,0
2437,27XXXXX,1
2438,27XXXXX,1
2439,27XXXXX,1
2440,27XXXXX,1
2441,27XXXXX,1
2442,27XXXXX,1
2443,27XXXXX,1
2444,27XXXXX,1
2445,27XXXXX,1
2446,27XXXXX,1
2447,27XXXXX,1
2448,27XXXXX,1
2449,27 MXXX,1
2450,27 ORIG,0
2451,27 ORIG,0
2452,27 ORIG,1
2453,270XXXX,0
2454,270XXXX,0
2455,270XXXX,1
2456,270XXXX,1
2457,271XXXX,0
2458,271XXXX,1
2459,272XXXX,1
2460,273XXXX,0
2461,273XXXX,1
2462,273XXXX,1
2463,273XXXX,1
2464,274XXXX,1
2465,275XXXX,0
2466,275XXXX,1
2467,276XXXX,0
2468,276XXXX,0
2469,276XXXX,0
2470,276XXXX,1
2471,278XXXX,0
2472,278XXXX,0
2473,278XXXX,1
2474,278XXXX,1
2475,279XXXX,0
2476,28XXXXX,0
2477,28XXXXX,0
2478,28XXXXX,0
2479,28XXXXX,0
2480,28XXXXX,0
2481,28XXXXX,0
2482,28XXXXX,0
2483,28XXXXX,0
2484,28XXXXX,0
2485,28XXXXX,0
2486,28XXXXX,0
2487,28XXXXX,1
2488,28XXXXX,1
2489,28XXXXX,1
2490,28XXXXX,1
2491,28XXXXX,1
2492,28XXXXX,1
2493,28XXXXX,1
2494,28XXXXX,1
2495,280XXXX,0
2496,280XXXX,0
2497,280XXXX,1
2498,280XXXX,1
2499,280XXXX,1
2500,280XXXX,1
2501,281XXXX,0
2502,281XXXX,1
2503,281XXXX,1
2504,282XXXX,0
2505,282XXXX,1
2506,282XXXX,1
2507,282XXXX,1
2508,282XXXX,1
2509,283XXXX,0
2510,283XXXX,0
2511,283XXXX,1
2512,284XXXX,0
2513,284XXXX,1
2514,285XXXX,0
2515,286XXXX,1
2516,286XXXX,1
2517,287XXXX,0
2518,287XXXX,0
2519,287XXXX,0
2520,287XXXX,0
2521,287XXXX,1
2522,287XXXX,1
2523,288XXXX,0
2524,288XXXX,0
2525,288XXXX,1
2526,289XXXX,1
2527,29XXXXX,0
2528,29XXXXX,0
2529,29XXXXX,0
2530,29XXXXX,0
2531,29XXXXX,0
2532,29XXXXX,0
2533,29XXXXX,0
2534,29XXXXX,1
2535,29XXXXX,1
2536,29XXXXX,1
2537,29XXXXX,1
2538,29XXXXX,1
2539,29XXXXX,1
2540,29XXXXX,1
2541,29XXXXX,1
2542,290XXXX,0
2543,290XXXX,1
2544,290XXXX,1
2545,291XXXX,0
2546,291XXXX,0
2547,291XXXX,1
2548,291XXXX,1
2549,292XXXX,0
2550,292XXXX,0
2551,292XXXX,1
2552,293XXXX,1
2553,293XXXX,1
2554,293XXXX,1
2555,293 MXX,1
2556,294XXXX,0
2557,294XXXX,1
2558,294XXXX,1
2559,294 MXX,1
2560,295XXXX,0
2561,295XXXX,0
2562,295XXXX,1
2563,295XXXX,1
2564,296XXXX,0
2565,296XXXX,1
2566,297XXXX,1
2567,297XXXX,1
2568,297XXXX,1
2569,297XXXX,1
2570,297XXXX,1
2571,298XXXX,0
2572,298XXXX,1
2573,298XXXX,1
2574,298 MXX,1
2575,299XXXX,0
2576,299XXXX,1
2577,2MXXXXX,0
2578,3XXXXXX,0
2579,3XXXXXX,0
2580,3XXXXXX,0
2581,3XXXXXX,0
2582,3XXXXXX,1
2583,3XXXXXX,1
2584,3XXXXXX,1
2585,3XXXXXX,1
2586,3XXXXXX,1
2587,3XXXXXX,1
2588,3XXXXXX,1
2589,3XXXXXX,1
2590,3XXXXXX,1
2591,3XXXXXX,1
2592,3XXXXXX,1
2593,3XXXXXX,1
2594,30XXXXX,0
2595,30XXXXX,0
2596,30XXXXX,0
2597,30XXXXX,0
2598,30XXXXX,0
2599,30XXXXX,0
2600,30XXXXX,0
2601,30XXXXX,0
2602,30XXXXX,0
2603,30XXXXX,1
2604,30XXXXX,1
2605,30XXXXX,1
2606,30XXXXX,1
2607,30XXXXX,1
2608,30XXXXX,1
2609,30XXXXX,1
2610,30 ORIG,0
2611,300XXXX,0
2612,300XXXX,0
2613,300XXXX,1
2614,300XXXX,1
2615,300XXXX,1
2616,301XXXX,0
2617,301XXXX,0
2618,301XXXX,0
2619,301XXXX,1
2620,301XXXX,1
2621,301 MXX,1
2622,302XXXX,0
2623,302XXXX,0
2624,302XXXX,0
2625,302XXXX,1
2626,302XXXX,1
2627,303XXXX,1
2628,303XXXX,1
2629,303XXXX,1
2630,304XXXX,0
2631,304XXXX,1
2632,304XXXX,1
2633,305XXXX,0
2634,305XXXX,0
2635,305XXXX,1
2636,305XXXX,1
2637,305XXXX,1
2638,306XXXX,0
2639,306XXXX,1
2640,306XXXX,1
2641,306XXXX,1
2642,306XXXX,1
2643,306 MXX,1
2644,307XXXX,0
2645,307XXXX,1
2646,307XXXX,1
2647,308XXXX,0
2648,309XXXX,0
2649,309XXXX,1
2650,31XXXXX,0
2651,31XXXXX,0
2652,31XXXXX,0
2653,31XXXXX,0
2654,31XXXXX,0
2655,31XXXXX,0
2656,31XXXXX,0
2657,31XXXXX,0
2658,31XXXXX,0
2659,31XXXXX,0
2660,31XXXXX,1
2661,31XXXXX,1
2662,31XXXXX,1
2663,31XXXXX,1
2664,31XXXXX,1
2665,31XXXXX,1
2666,31 ORIG,1
2667,31 ORIG,1
2668,31 ORIG,1
2669,31 ORIG,1
2670,31 ORIG,1
2671,310XXXX,0
2672,310XXXX,0
2673,310XXXX,1
2674,310XXXX,1
2675,311XXXX,0
2676,312XXXX,1
2677,312XXXX,1
2678,312XXXX,1
2679,313XXXX,0
2680,313XXXX,0
2681,313XXXX,1
2682,313XXXX,1
2683,313XXXX,1
2684,315XXXX,1
2685,316XXXX,1
2686,316XXXX,1
2687,317XXXX,0
2688,318XXXX,0
2689,318XXXX,0
2690,318XXXX,1
2691,318XXXX,1
