,docket,win
351,04-1360,0
352,04-1371,1
353,04-1376,0
354,04-1414,1
355,04-1475,1
356,04-1477,1
357,04-1495,1
358,04-1506,0
359,04-1527,0
360,04-1528,1
361,04-1538,1
362,04-1544,1
363,04-1581,1
364,04-1618,1
365,04-163X,1
366,04-169X,1
367,04-1704,1
368,04-1739,1
369,04-277X,1
370,04-278X,1
371,04-340X,0
372,04-368X,1
373,04-37XX,1
374,04-373X,0
375,04-394X,1
376,04-433X,1
377,04-473X,1
378,04-480X,1
379,04-495X,1
380,04-514X,1
381,04-52XX,1
382,04-86XX,0
383,04-93XX,1
384,04-23XX,1
385,04-62XX,1
386,04-563X,1
387,04-28XX,0
388,04-593X,1
389,04-597X,1
390,04-603X,0
391,04-607X,0
392,04-623X,0
393,04-631X,1
394,04-637X,1
395,04-32XX,0
396,04-64XX,1
397,04-698X,0
398,04-70XX,0
399,04-712X,1
400,04-721X,1
401,04-759X,1
402,04-805X,1
403,04-84XX,1
404,04-848X,1
405,04-881X,0
406,04-885X,0
407,04-90XX,1
408,04-905X,1
409,04-928X,1
410,04-944X,1
411,04-28XX,0
412,04-980X,1
413,04-49XX,1
414,05-101X,1
415,05-1056,1
416,05-1074,0
417,05-1120,1
418,05-1126,1
419,05-11284,1
420,05-11287,1
421,05-11304,1
422,05-1157,1
423,05-1240,0
424,05-1256,1
425,05-1272,1
426,05-128X,1
427,05-1284,1
428,05-130X,1
429,05-1342,0
430,05-1345,0
431,05-1429,1
432,05-1448,1
433,05-1508,0
434,05-1541,0
435,05-1575,1
436,05-1589,1
437,05-1629,1
438,05-1631,1
439,18-05XX,1
440,05-184X,1
441,05-200X,0
442,05-204X,1
443,05-259X,0
444,05-260X,0
445,05-352X,0
446,05-379X,1
447,05-380X,1
448,05-381X,1
449,05-409X,1
450,05-416X,1
451,05-465X,1
452,05-493X,1
453,05-502X,1
454,05-24XX,0
455,05-547X,1
456,05-552X,1
457,05-555X,1
458,05-593X,0
459,05-595X,1
460,05-66XX,0
461,05-92XX,1
462,05-608X,1
463,05-51XX,1
464,05-669X,0
465,05-97XX,1
466,05-705X,0
467,05-53XX,0
468,05-58XX,1
469,05-746X,1
470,05-64XX,0
471,05-785X,1
472,05-83XX,1
473,05-00XX,1
474,05-848X,1
475,05-85XX,1
476,05-94XX,1
477,05-20XX,0
478,05-908X,1
479,05-22XX,0
480,05-64XX,0
481,05-983X,1
482,05-996X,0
483,05-998X,1
484,06-1005,0
485,06-10119,1
486,06-102X,1
487,06-1037,1
488,06-1082,1
489,06-11206,1
490,06-11429,0
491,06-11543,1
492,06-116X,1
493,06-11612,0
494,06-1164,0
495,06-1181,1
496,06-1195,1
497,06-1204,1
498,06-1221,1
499,06-1249,0
500,06-1265,0
501,06-1286,0
502,06-1287,1
503,06-1321,1
504,06-1322,0
505,06-134X,0
506,06-1413,0
507,06-1431,0
508,06-1456,1
509,06-1457,1
510,06-1463,1
511,06-1498,0
512,06-1505,1
513,06-1509,1
514,06-157X,1
515,06-1595,1
516,06-1646,1
517,06-1666,0
518,06-1680,1
519,06-1717,1
520,06-179X,0
521,06-219X,1
522,06-278X,1
523,06-313X,0
524,06-340X,1
525,06-376X,0
526,06-413X,1
527,06-427X,1
528,06-43XX,0
529,06-457X,0
530,06-480X,1
531,06-484X,1
532,06-47XX,0
533,06-06XX,0
534,06-531X,1
535,06-532X,1
536,06-18XX,0
537,06-562X,0
538,06-571X,1
539,06-54XX,0
540,06-593X,1
541,06-605X,1
542,06-618X,0
543,06-30XX,1
544,06-637X,0
545,06-07XX,1
546,06-641X,0
547,06-666X,1
548,06-11XX,0
549,06-694X,1
550,06-713X,1
551,06-17XX,1
552,06-17XX,0
553,06-766X,1
554,06-49XX,1
555,06-20XX,1
556,06-73XX,1
557,06-84XX,1
558,06-856X,1
559,06-30XX,0
560,06-923X,0
561,06-937X,1
562,06-939X,1
563,06-969X,0
564,06-984X,0
565,06-984X,0
566,06-989X,0
567,07-1015,1
568,07-10374,1
569,07-10441,1
570,07-1059,1
571,07-10689,1
572,07-1090,1
573,07-110X,1
574,07-1114,1
575,07-11191,1
576,07-1122,1
577,07-1125,1
578,07-1209,1
579,07-1216,0
580,07-1223,0
581,07-1239,1
582,07-1309,0
583,07-1315,1
584,07-1356,1
585,07-1372,1
586,07-1410,1
587,07-1428,1
588,07-1437,1
589,07-1529,1
590,07-1601,1
591,07-208X,1
592,21-07XX,0
593,07-210X,0
594,07-212X,1
595,07-214X,1
596,07-219X,1
597,07-290X,0
598,07-308X,1
599,07-312X,1
600,07-320X,1
601,07-330X,1
602,07-343X,1
603,07-371X,1
604,07-411X,1
605,07-440X,1
606,07-455X,1
607,07-463X,1
608,07-474X,0
609,07-499X,1
610,07-512X,1
611,07-513X,0
612,07-526X,1
613,07-542X,0
614,07-543X,1
615,07-39XX,0
616,07-544X,1
617,07-552X,0
618,07-562X,0
619,07-581X,1
620,07-582X,1
621,07-588X,1
622,07-591X,1
623,07-53XX,1
624,07-608X,1
625,07-610X,0
626,07-615X,1
627,07-636X,0
628,07-665X,1
629,07-689X,0
630,07-84XX,1
631,07-751X,1
632,07-77XX,1
633,07-772X,1
634,07-773X,1
635,07-21XX,1
636,07-854X,1
637,07-869X,1
638,07-901X,1
639,07-12XX,0
640,07-984X,1
641,07-95XX,0
642,08-1008,1
643,08-103X,1
644,08-1034,1
645,08-10495,1
646,08-10537,1
647,08-1065,0
648,08-108X,1
649,08-10914,1
650,08-1107,1
651,08-1119,1
652,08-1134,0
653,08-1151,0
654,08-1175,1
655,08-1191,0
656,08-1196,1
657,08-1198,1
658,08-1200,1
659,08-1214,1
660,08-1224,1
661,08-1234,1
662,08-1263,1
663,08-1301,1
664,08-1314,1
665,08-1322,1
666,08-1332,1
667,08-1341,1
668,08-1371,0
669,08-1394,1
670,08-1402,1
671,08-1423,0
672,08-1438,0
673,08-1448,0
674,08-1457,1
675,08-146X,1
676,08-1470,1
677,08-1498,1
678,08-1521,1
679,08-1529,1
680,08-1553,1
681,08-1555,0
682,08-1569,0
683,08-192X,1
684,08-205X,1
685,08-214X,0
686,22-08XX,1
687,08-240X,0
688,08-267X,0
689,08-289X,1
690,08-295X,1
691,08-304X,1
692,08-305X,0
693,08-310X,1
694,08-322X,1
695,08-351X,1
696,08-441X,1
697,08-453X,1
698,08-472X,1
699,08-479X,0
700,08-495X,0
701,08-74XX,0
702,08-538X,1
703,08-559X,1
704,08-57XX,1
705,08-21XX,1
706,08-586X,1
707,08-598X,1
708,6-08XXX,1
709,08-604X,0
710,08-61XX,0
711,08-645X,1
712,08-651X,1
713,08-660X,0
714,08-661X,1
715,08-67XX,1
716,08-674X,1
717,08-678X,0
718,08-680X,1
719,08-681X,1
720,08-25XX,1
721,08-724X,1
722,08-728X,1
723,08-12XX,1
724,08-21XX,0
725,08-769X,0
726,08-810X,1
727,08-861X,1
728,08-876X,1
729,08-88XX,1
730,08-905X,0
731,08-911X,1
732,08-56XX,0
733,08-964X,0
734,08-969X,1
735,08-970X,1
736,08-974X,1
737,08-992X,1
738,08-998X,0
739,08A1096,0
740,08A332X,1
741,09-10245,1
742,09-1036,1
743,09-10876,1
744,09-1088,1
745,09-11121,1
746,09-11311,0
747,09-11328,0
748,09-115X,0
749,09-11556,0
750,09-1156,0
751,09-1159,0
752,09-1163,1
753,09-1205,1
754,09-1227,1
755,09-1233,0
756,09-1272,1
757,09-1273,1
758,09-1279,1
759,09-1298,1
760,09-1343,1
761,09-1403,1
762,09-144X,1
763,09-1454,1
764,09-1476,1
765,09-1498,0
766,09-150X,1
767,09-152X,0
768,09-1533,0
769,09-158X,1
770,09-223X,1
771,09-273X,1
772,09-291X,1
773,09-329X,1
774,09-337X,1
775,09-338X,1
776,09-350X,1
777,09-367X,0
778,09-400X,1
779,09-448X,1
780,09-475X,1
781,09-479X,0
782,09-497X,1
783,09-520X,1
784,09-01XX,0
785,09-525X,1
786,09-70XX,1
787,09-529X,1
788,09-530X,1
789,09-27XX,1
790,09-559X,0
791,09-571X,1
792,09-31XX,1
793,09-01XX,0
794,09-587X,1
795,09-60XX,1
796,09-38XX,0
797,09-658X,1
798,09-22XX,1
799,09-737X,1
800,09-751X,0
801,09-804X,1
802,09-834X,1
803,09-837X,0
804,09-846X,1
805,09-868X,0
806,09-52XX,1
807,09-54XX,1
808,09-893X,1
809,09-00XX,1
810,09-907X,0
811,09-91XX,1
812,09-940X,0
813,09-958X,1
814,09-987X,1
815,09-993X,1
816,09-996X,1
817,09A648X,1
818,1XXXXXX,0
819,1XXXXXX,0
820,1XXXXXX,0
821,1XXXXXX,0
822,1XXXXXX,1
823,1XXXXXX,1
824,1XXXXXX,1
825,1XXXXXX,1
826,1XXXXXX,1
827,1XXXXXX,1
828,1XXXXXX,1
829,1 MXXXX,0
830,1 ORIGX,0
831,10XXXXX,0
832,10XXXXX,0
833,10XXXXX,0
834,10XXXXX,0
835,10XXXXX,0
836,10XXXXX,0
837,10XXXXX,0
838,10XXXXX,1
839,10XXXXX,1
840,10XXXXX,1
841,10XXXXX,1
842,10XXXXX,1
843,10XXXXX,1
844,10XXXXX,1
845,10XXXXX,1
846,10XXXXX,
847,10 ORIG,0
848,10 ORIG,0
849,10 ORIG,1
850,10 ORIG,1
851,100XXXX,0
852,100XXXX,0
853,100XXXX,1
854,100XXXX,1
855,100XXXX,1
856,100XXXX,1
857,1002XXX,1
858,1003XXX,1
859,101XXXX,1
860,101XXXX,1
861,101XXXX,1
862,101XXXX,1
863,101XXXX,1
864,101XXXX,1
865,1010XXX,0
866,10-10XX,1
867,10-1000,1
868,10-1001,1
869,10-1016,0
870,10-1018,1
871,10-1024,1
872,10-1042,0
873,10-1062,1
874,1011XXX,0
875,10-1104,1
876,10-1115,1
877,10-1121,1
878,10-114X,1
879,10-1150,1
880,10-1195,1
881,10-1211,1
882,10-1219,0
883,10-1259,0
884,10-1261,1
885,10-1265,1
886,10-1293,0
887,10-1320,0
888,10-1399,0
889,10-1472,1
890,10-1491,0
891,1015XXX,1
892,10-1521,1
893,10-1540,1
894,10-1542,1
895,1016XXX,1
896,1017 MX,0
897,10-174X,1
898,10-179X,0
899,10-188X,1
900,102XXXX,0
901,102XXXX,0
902,102XXXX,1
903,102XXXX,1
904,102XXXX,1
905,10-209X,1
906,10-218X,1
907,1022XXX,0
908,10-224X,1
909,10-235X,0
910,10-238X,1
911,10-277X,1
912,1029XXX,1
913,10-290X,0
914,103XXXX,0
915,103XXXX,0
916,103XXXX,0
917,103XXXX,1
918,103XXXX,1
919,10-313X,1
920,10-333X,1
921,1035XXX,1
922,10-382X,1
923,104XXXX,0
924,104XXXX,1
925,104XXXX,1
926,104XXXX,1
927,104XXXX,1
928,1040XXX,1
929,10-444X,1
930,105XXXX,0
931,105XXXX,0
932,105XXXX,0
933,105XXXX,1
934,105XXXX,1
935,105XXXX,1
936,105 ORIG,0
937,105 ORIG,0
938,105 ORIG,0
939,105 ORIG,1
940,1050 MX,1
941,10-507X,0
942,10-58XX,0
943,10-00XX,1
944,10-43XX,1
945,10-545X,0
946,10-553X,1
947,1056XXX,1
948,10-568X,1
949,10-577X,0
950,1059XXX,1
951,106XXXX,0
952,106XXXX,1
953,106XXXX,1
954,106XXXX,1
955,106XXXX,1
956,6-10XXX,0
957,106 ORIG,1
958,1060XXX,1
959,10-63XX,1
960,10-637X,0
961,10-49XX,1
962,1066XXX,0
963,1066XXX,1
964,10-680X,1
965,10-694X,1
966,10-699X,1
967,107XXXX,0
968,107XXXX,0
969,107XXXX,0
970,107XXXX,1
971,107XXXX,1
972,107XXXX,1
973,107XXXX,1
974,107XXXX,1
975,10-704X,1
976,10-708X,0
977,1072XXX,1
978,10-72XX,1
979,10-87XX,0
980,1076XXX,1
981,10-76XX,1
982,10-779X,0
983,10-788X,0
984,10-797X,1
985,108XXXX,0
986,108XXXX,1
987,108XXXX,1
988,108XXXX,1
989,108XXXX,1
990,108XXXX,1
991,108 ORIG,0
992,108 ORIG,0
993,108 ORIG,1
994,10-45XX,1
995,10-844X,1
996,10-05XX,0
997,10-875X,0
998,10-879X,0
999,1089XXX,1
1000,10-895X,0
1001,10-74XX,0
1002,109XXXX,0
1003,109XXXX,0
1004,109XXXX,0
1005,109XXXX,0
1006,109XXXX,1
1007,109XXXX,1
1008,109XXXX,1
1009,109XXXX,1
1010,109 ORIG,0
1011,109 ORIG,1
1012,10-91XX,1
1013,1093XXX,1
1014,10-930X,1
1015,10-945X,0
1016,10-948X,1
1017,1095XXX,0
1018,10-46XX,1
1019,10-98XX,1
1020,10-95XX,1
1021,11XXXXX,0
1022,11XXXXX,0
1023,11XXXXX,0
1024,11XXXXX,0
1025,11XXXXX,0
1026,11XXXXX,0
1027,11XXXXX,0
1028,11XXXXX,1
1029,11XXXXX,1
1030,11XXXXX,1
1031,11XXXXX,1
1032,11XXXXX,1
1033,11XXXXX,1
